geoid,name,state,japanese_pop,total_pop,japanese_pct
48101950100,"Cottle County (9501)","Texas",0,1368,0
48105950100,"Crockett County (9501)","Texas",0,2822,0
26037011101,"Clinton County (111.01)","Michigan",80,4352,1.84
17029001100,"Coles County (11)","Illinois",0,3693,0
21107970800,"Hopkins County (9708)","Kentucky",0,2630,0
20037957100,"Crawford County (9571)","Kansas",31,3104,1
20037957400,"Crawford County (9574)","Kansas",0,2064,0
17037000700,"DeKalb County (7)","Illinois",0,3870,0
17037002100,"DeKalb County (21)","Illinois",0,2404,0
26045020103,"Eaton County (201.03)","Michigan",0,3997,0
26045021201,"Eaton County (212.01)","Michigan",0,3001,0
20079030300,"Harvey County (303)","Kansas",0,5606,0
20111000500,"Lyon County (5)","Kansas",0,4272,0
47157021612,"Shelby County (216.12)","Tennessee",0,5383,0
47157021111,"Shelby County (211.11)","Tennessee",0,4376,0
47157011500,"Shelby County (115)","Tennessee",0,1925,0
47157020521,"Shelby County (205.21)","Tennessee",0,3615,0
47157000200,"Shelby County (2)","Tennessee",0,1100,0
47157001900,"Shelby County (19)","Tennessee",0,1263,0
47157003000,"Shelby County (30)","Tennessee",0,2512,0
47157003800,"Shelby County (38)","Tennessee",0,699,0
47157003900,"Shelby County (39)","Tennessee",0,1384,0
47157006300,"Shelby County (63)","Tennessee",0,2248,0
47157007100,"Shelby County (71)","Tennessee",0,2518,0
47157008800,"Shelby County (88)","Tennessee",0,7862,0
47157020632,"Shelby County (206.32)","Tennessee",1,5040,0.02
26061000200,"Houghton County (2)","Michigan",0,3153,0
20133951600,"Neosho County (9516)","Kansas",0,3860,0
26065006800,"Ingham County (68)","Michigan",0,3849,0
26065005304,"Ingham County (53.04)","Michigan",0,2985,0
26065005401,"Ingham County (54.01)","Michigan",0,3289,0
21131920200,"Leslie County (9202)","Kentucky",0,2046,0
26067030200,"Ionia County (302)","Michigan",0,2809,0
48121021742,"Denton County (217.42)","Texas",0,7349,0
48121021301,"Denton County (213.01)","Texas",0,3207,0
26075006301,"Jackson County (63.01)","Michigan",0,3067,0
26075000400,"Jackson County (4)","Michigan",0,3799,0
26075005302,"Jackson County (53.02)","Michigan",0,4471,0
26077001200,"Kalamazoo County (12)","Michigan",31,2666,1.16
26077006102,"Kalamazoo County (61.02)","Michigan",0,3732,0
20177000800,"Shawnee County (8)","Kansas",0,3054,0
20177000500,"Shawnee County (5)","Kansas",0,1939,0
27045960400,"Fillmore County (9604)","Minnesota",0,3206,0
49011125502,"Davis County (1255.02)","Utah",71,5885,1.21
49011125905,"Davis County (1259.05)","Utah",56,7811,0.72
49011126700,"Davis County (1267)","Utah",12,4097,0.29
27027020400,"Clay County (204)","Minnesota",0,4242,0
26081013900,"Kent County (139)","Michigan",11,6670,0.16
26081001300,"Kent County (13)","Michigan",0,3492,0
26081011403,"Kent County (114.03)","Michigan",0,3420,0
26081002000,"Kent County (20)","Michigan",13,2845,0.46
26081012608,"Kent County (126.08)","Michigan",0,4128,0
26081012702,"Kent County (127.02)","Michigan",0,5107,0
26081012902,"Kent County (129.02)","Michigan",0,5078,0
21165960100,"Menifee County (9601)","Kentucky",0,3887,0
49035112402,"Salt Lake County (1124.02)","Utah",0,6825,0
49035113533,"Salt Lake County (1135.33)","Utah",74,4505,1.64
49035113511,"Salt Lake County (1135.11)","Utah",65,3424,1.9
49035113514,"Salt Lake County (1135.14)","Utah",0,5863,0
49035113520,"Salt Lake County (1135.20)","Utah",29,4573,0.63
49035110401,"Salt Lake County (1104.01)","Utah",63,3203,1.97
49035112503,"Salt Lake County (1125.03)","Utah",35,4735,0.74
49035113410,"Salt Lake County (1134.10)","Utah",16,5527,0.29
49035113702,"Salt Lake County (1137.02)","Utah",9,3030,0.3
49035101101,"Salt Lake County (1011.01)","Utah",15,2065,0.73
49035101800,"Salt Lake County (1018)","Utah",17,3485,0.49
49035113010,"Salt Lake County (1130.10)","Utah",0,6914,0
21175950200,"Morgan County (9502)","Kentucky",0,2342,0
26107960300,"Mecosta County (9603)","Michigan",5,2904,0.17
26117971200,"Montcalm County (9712)","Michigan",0,5600,0
26121001402,"Muskegon County (14.02)","Michigan",0,3162,0
26123970600,"Newaygo County (9706)","Michigan",0,3966,0
26127010400,"Oceana County (104)","Michigan",2,3931,0.05
26133970600,"Osceola County (9706)","Michigan",0,4597,0
26139022001,"Ottawa County (220.01)","Michigan",0,6231,0
27053020304,"Hennepin County (203.04)","Minnesota",0,3769,0
27053021503,"Hennepin County (215.03)","Minnesota",0,4183,0
27053026713,"Hennepin County (267.13)","Minnesota",0,4030,0
27053000102,"Hennepin County (1.02)","Minnesota",35,5005,0.7
27053106700,"Hennepin County (1067)","Minnesota",29,4958,0.58
27053101600,"Hennepin County (1016)","Minnesota",0,2649,0
27053002200,"Hennepin County (22)","Minnesota",0,1320,0
27053020700,"Hennepin County (207)","Minnesota",109,3967,2.75
27053026606,"Hennepin County (266.06)","Minnesota",0,4931,0
27053106900,"Hennepin County (1069)","Minnesota",0,2722,0
27053025205,"Hennepin County (252.05)","Minnesota",0,5174,0
27053009600,"Hennepin County (96)","Minnesota",9,3433,0.26
27053026206,"Hennepin County (262.06)","Minnesota",0,2952,0
27053111400,"Hennepin County (1114)","Minnesota",19,3976,0.48
27053108000,"Hennepin County (1080)","Minnesota",18,3700,0.49
27053008300,"Hennepin County (83)","Minnesota",0,2049,0
27053022801,"Hennepin County (228.01)","Minnesota",0,2497,0
27053026819,"Hennepin County (268.19)","Minnesota",29,4979,0.58
27065480300,"Kanabec County (4803)","Minnesota",19,4162,0.46
17031820604,"Cook County (8206.04)","Illinois",0,3648,0
17031740100,"Cook County (7401)","Illinois",0,3003,0
17031520400,"Cook County (5204)","Illinois",0,3589,0
17031530501,"Cook County (5305.01)","Illinois",0,5885,0
17031826600,"Cook County (8266)","Illinois",0,4798,0
17031720500,"Cook County (7205)","Illinois",0,1965,0
17031830100,"Cook County (8301)","Illinois",0,2812,0
17031826303,"Cook County (8263.03)","Illinois",0,3452,0
17031826700,"Cook County (8267)","Illinois",0,4198,0
17031826401,"Cook County (8264.01)","Illinois",0,3065,0
17031827700,"Cook County (8277)","Illinois",0,2568,0
17031825900,"Cook County (8259)","Illinois",0,3055,0
17031821700,"Cook County (8217)","Illinois",0,4690,0
17031821402,"Cook County (8214.02)","Illinois",0,3450,0
17031815300,"Cook County (8153)","Illinois",0,3616,0
17031817700,"Cook County (8177)","Illinois",0,5036,0
17031816000,"Cook County (8160)","Illinois",1,3164,0.03
17031720700,"Cook County (7207)","Illinois",236,2935,8.04
17031710500,"Cook County (7105)","Illinois",0,4305,0
17031691500,"Cook County (6915)","Illinois",0,1667,0
17031813500,"Cook County (8135)","Illinois",0,6481,0
17031812801,"Cook County (8128.01)","Illinois",0,3255,0
17031812100,"Cook County (8121)","Illinois",15,4614,0.33
17031670900,"Cook County (6709)","Illinois",0,1414,0
17031670100,"Cook County (6701)","Illinois",0,1031,0
17031640800,"Cook County (6408)","Illinois",0,1488,0
17031691000,"Cook County (6910)","Illinois",0,2572,0
17031834700,"Cook County (8347)","Illinois",0,1580,0
17031580502,"Cook County (5805.02)","Illinois",0,5304,0
17031560800,"Cook County (5608)","Illinois",0,6415,0
17031611900,"Cook County (6119)","Illinois",8,1797,0.45
17031840000,"Cook County (8400)","Illinois",0,2622,0
17031491200,"Cook County (4912)","Illinois",0,1848,0
17031350400,"Cook County (3504)","Illinois",0,1457,0
17031841300,"Cook County (8413)","Illinois",19,3970,0.48
17031310600,"Cook County (3106)","Illinois",0,5872,0
17031430200,"Cook County (4302)","Illinois",0,5792,0
17031410600,"Cook County (4106)","Illinois",59,2600,2.27
17031381900,"Cook County (3819)","Illinois",0,1324,0
17031261000,"Cook County (2610)","Illinois",0,1972,0
17031251500,"Cook County (2515)","Illinois",0,4489,0
17031292400,"Cook County (2924)","Illinois",0,1916,0
17031282800,"Cook County (2828)","Illinois",35,1727,2.03
17031807700,"Cook County (8077)","Illinois",0,6320,0
17031806700,"Cook County (8067)","Illinois",98,4362,2.25
17031810501,"Cook County (8105.01)","Illinois",0,5110,0
17031804808,"Cook County (8048.08)","Illinois",18,2669,0.67
17031806201,"Cook County (8062.01)","Illinois",0,4425,0
17031805801,"Cook County (8058.01)","Illinois",0,2301,0
